Date,StrategyOne,StrategyTwo,StrategyThree
1970.01,102.50,102.50,100.00
1970.02,201.74,205.62,196.82
1970.03,308.29,309.33,300.77
1970.04,402.34,413.73,392.53
1970.05,459.95,518.96,448.73
1970.06,561.22,624.85,547.53
1970.07,666.65,731.24,650.39
1970.08,790.79,838.33,771.50
1970.09,943.13,945.99,920.13
1970.10,1069.03,1054.27,1042.95
1970.11,1173.73,1162.78,1145.10
1970.12,1359.99,1271.47,1326.82
1971.01,1520.80,1383.14,1482.76
1971.02,1688.82,1495.25,1645.57
1971.03,1841.58,1607.41,1793.77
1971.04,2014.15,1720.28,1960.88
1971.05,2096.95,1834.51,2042.35
1971.06,2168.65,1949.54,2113.22
1971.07,2263.71,2065.53,2206.41
1971.08,2334.52,2181.92,2276.44
1971.09,2497.49,2298.15,2434.51
1971.10,2556.13,2414.57,2492.90
1971.11,2549.77,2531.32,2489.15
1971.12,2837.02,2648.89,2766.19
1972.01,3069.88,2769.71,2988.97
1972.02,3241.50,2891.44,3154.39
1972.03,3433.92,3013.75,3339.25
1972.04,3584.76,3136.99,3485.28
1972.05,3664.72,3260.70,3565.18
1972.06,3791.30,3384.99,3688.61
1972.07,3879.95,3509.92,3776.64
1972.08,4134.15,3635.77,4019.39
1972.09,4191.94,3763.30,4078.76
1972.10,4317.18,3891.31,4201.09
1972.11,4651.30,4019.37,4518.56
1972.12,4866.36,4148.36,4724.72
1973.01,5024.84,4281.07,4877.83
1973.02,4968.56,4415.14,4835.06
1973.03,5012.31,4550.21,4883.42
1973.04,5041.12,4685.89,4918.04
1973.05,5022.36,4823.02,4908.98
1973.06,5033.16,4961.13,4926.87
1973.07,5204.41,5100.99,5092.33
1973.08,5229.99,5242.82,5123.90
1973.09,5444.56,5384.18,5329.36
1973.10,5785.17,5525.03,5650.69
1973.11,5500.37,5666.40,5397.44
1973.12,5237.75,5808.60,5162.90
1974.01,5439.84,5955.58,5356.34
1974.02,5419.01,6103.26,5347.85
1974.03,5779.47,6253.07,5685.34
1974.04,5615.25,6405.35,5547.56
1974.05,5577.11,6558.95,5523.24
1974.06,5715.83,6713.30,5659.71
1974.07,5183.04,6870.14,5184.61
1974.08,5102.05,7029.31,5119.12
1974.09,4706.79,7189.54,4762.95
1974.10,4931.42,7350.02,4979.63
1974.11,5228.52,7510.20,5263.46
1974.12,5024.69,7669.84,5082.89
1975.01,5572.84,7833.75,5592.68
